RK,Player,Nation,pos,Squad,Age,Born,90s,cmp,Att,Cmp%,TotDis,PrgDist,cmp2,Att2,Cmp2%,cmp3,Att3,Cmp3%,cmp4,Att4,Cmp4%,Ast,xAG,xA,A-xAG,Kp,1/3,PPA,CrsPA,Prgp
372,Beñat Prados, ESP,MF,Athletic Club,23-293,2001,7.2,266,325,81.8,4575,1075,113,134,84.3,128,147,87.1,18,30,60.0,0,0.2,0.4,-0.2,4,24,2,1,30
373,Abdón Prats, ESP,"FW,MF",Mallorca,31-356,1992,2.0,22,32,68.8,396,99,11,13,84.6,8,11,72.7,3,4,75.0,0,0.0,0.0,0.0,0,3,1,0,4
374,Javi Puado, ESP,"FW,MF",Espanyol,26-186,1998,10.2,160,201,79.6,2373,325,91,103,88.3,60,70,85.7,6,14,42.9,0,0.7,0.4,-0.7,6,9,2,0,23
375,Dani Raba, ESP,"MF,FW",Leganés,29-029,1995,3.4,71,112,63.4,1232,373,32,41,78.0,30,40,75.0,7,21,33.3,2,0.9,0.4,+1.1,8,8,5,1,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Antonio Raillo, ESP,DF,Mallorca,33-050,1991,13.8,567,660,85.9,10960,3930,188,209,90.0,310,338,91.7,61,94,64.9,0,0.8,0.5,-0.8,6,33,4,0,42
377,Benito Ramírez, ESP,"DF,MF",Las Palmas,29-139,1995,3.0,169,211,80.1,2693,726,89,94,94.7,66,74,89.2,11,25,44.0,0,0.6,0.4,-0.6,7,6,6,5,11
378,Sandro Ramírez, ESP,"FW,MF",Las Palmas,29-141,1995,7.2,131,194,67.5,2248,697,65,82,79.3,48,64,75.0,14,31,45.2,2,1.2,0.9,+0.8,9,13,2,2,15
379,Raphinha, BRA,"FW,MF",Barcelona,27-349,1996,13.0,406,583,69.6,6872,2029,213,259,82.2,135,179,75.4,48,101,47.5,6,6.6,4.0,-0.6,44,38,21,4,56
380,Andrei Ratiu, ROU,DF,Rayo Vallecano,26-160,1998,10.9,417,519,80.3,6357,2330,228,257,88.7,160,190,84.2,19,39,48.7,1,1.8,0.5,-0.8,10,33,7,3,46
381,Raúl, ESP,FW,Osasuna,24-024,2000,3.4,36,61,59.0,464,55,22,30,73.3,12,18,66.7,,2,0.0,0,0.6,0.2,-0.6,2,2,0,0,3
382,Abderrahman Rebbach, ALG,"FW,MF",Alavés,26-108,1998,4.0,68,111,61.3,1151,230,37,53,69.8,22,33,66.7,8,17,47.1,0,0.3,0.4,-0.3,6,2,5,3,4
383,Álex Remiro, ESP,GK,Real Sociedad,29-248,1995,14.0,363,472,76.9,9951,6821,52,52,100.0,202,207,97.6,109,210,51.9,0,0.0,0.0,0.0,1,6,0,0,0
384,Diego Rico, ESP,DF,Getafe,31-278,1993,13.0,445,665,66.9,8053,4505,207,244,84.8,181,261,69.3,48,119,40.3,1,1.2,2.1,-0.2,20,44,25,17,53
385,Luis Rioja, ESP,FW,Alavés,31-042,1993,0.3,5,11,45.5,70,27,3,4,75.0,2,5,40.0,,1,0.0,0,0.1,0.1,-0.1,1,0,0,0,1
386,Luis Rioja, ESP,MF,Valencia,31-042,1993,9.7,192,303,63.4,3103,754,107,130,82.3,61,94,64.9,17,47,36.2,0,0.5,1.0,-0.5,9,13,11,7,24
387,Rodrigo Riquelme, ESP,"DF,MF",Atlético Madrid,24-239,2000,4.5,163,203,80.3,2205,588,98,112,87.5,50,57,87.7,5,18,27.8,0,0.5,0.6,-0.5,9,12,7,1,19
388,Alberto Risco, ESP,"MF,FW",Getafe,19-089,2005,0.8,25,34,73.5,340,98,15,18,83.3,6,8,75.0,2,4,50.0,0,0.1,0.2,-0.1,4,1,4,3,3
389,Mihailo Ristić, SRB,"MF,DF",Celta Vigo,29-027,1995,1.2,39,52,75.0,612,195,24,27,88.9,13,17,76.5,2,6,33.3,0,0.0,0.0,0.0,0,2,0,0,1
390,Gorka Rivera Alonso, ESP,"DF,MF",Getafe,20-118,2004,0.2,5,11,45.5,94,27,1,2,50.0,4,7,57.1,,2,0.0,0,0.0,0.0,0.0,0,1,0,0,1
391,Marc Roca, ESP,MF,Betis,28-001,1996,8.1,382,434,88.0,6538,1872,176,188,93.6,174,187,93.0,24,41,58.5,1,0.4,0.5,+0.6,11,41,5,2,49
392,Rodri, ESP,FW,Betis,24-195,2000,1.3,56,66,84.8,941,282,35,36,97.2,14,17,82.4,7,11,63.6,0,0.1,0.3,-0.1,2,4,5,0,8
393,Álvaro Rodríguez, URU,FW,Getafe,20-136,2004,2.5,30,54,55.6,424,72,14,26,53.8,12,15,80.0,1,1,100.0,0,0.2,0.2,-0.2,2,3,1,0,2
394,Óscar Rodríguez Arnaiz, ESP,"MF,FW",Leganés,26-152,1998,3.8,104,148,70.3,1660,394,59,67,88.1,35,50,70.0,8,23,34.8,2,0.4,0.2,+1.6,4,5,5,1,15
395,Damián Rodríguez, ESP,MF,Celta Vigo,21-255,2003,6.2,386,441,87.5,6649,1846,160,172,93.0,188,201,93.5,29,50,58.0,0,0.5,0.9,-0.5,10,44,3,0,35
396,Dani Rodríguez, ESP,"FW,MF",Mallorca,36-174,1988,8.4,178,261,68.2,3210,1069,85,104,81.7,61,84,72.6,27,55,49.1,3,1.5,1.5,+1.5,9,15,6,3,29
397,James Rodríguez, COL,"MF,FW",Rayo Vallecano,33-138,1991,1.6,78,98,79.6,1368,440,40,44,90.9,21,25,84.0,13,24,54.2,0,0.2,0.3,-0.2,2,12,1,0,13
398,Javi Rodríguez, ESP,DF,Celta Vigo,21-154,2003,8.7,483,569,84.9,8487,2536,202,216,93.5,229,253,90.5,44,76,57.9,1,0.7,0.5,+0.3,5,32,4,0,37
399,Kirian Rodríguez, ESP,MF,Las Palmas,28-267,1996,12.1,676,794,85.1,10590,3087,364,399,91.2,244,279,87.5,49,77,63.6,2,1.0,1.1,+1.0,11,62,12,1,89
400,Ricardo Rodríguez, SUI,DF,Betis,32-094,1992,3.7,159,199,79.9,2343,824,94,101,93.1,54,75,72.0,7,16,43.8,0,0.1,0.2,-0.1,2,11,3,2,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,Rodrygo, BRA,FW,Real Madrid,23-323,2001,7.4,305,354,86.2,4067,936,199,212,93.9,81,95,85.3,11,23,47.8,1,0.7,1.1,+0.3,18,19,10,0,33
402,Leo Román, ESP,GK,Mallorca,24-144,2000,4.0,84,137,61.3,2822,2237,5,5,100.0,44,46,95.7,35,86,40.7,0,0.0,0.0,0.0,0,4,0,0,0
403,Carlos Romero, ESP,DF,Espanyol,23-029,2001,10.1,263,375,70.1,4409,1681,137,172,79.7,103,135,76.3,21,48,43.8,1,0.8,0.9,+0.2,13,21,13,6,29
404,Isaac Romero, ESP,FW,Sevilla,24-193,2000,9.9,129,185,69.7,1756,213,81,100,81.0,32,48,66.7,6,13,46.2,2,1.0,1.0,+1.0,8,6,5,1,9
405,Luka Romero, ARG,"FW,MF",Alavés,20-009,2004,2.1,29,41,70.7,410,68,16,22,72.7,12,12,100.0,,4,0.0,0,0.1,0.2,-0.1,2,0,1,1,0
406,Oriol Romeu, ESP,MF,Girona,33-064,1991,5.7,304,339,89.7,5058,1074,134,145,92.4,147,158,93.0,19,26,73.1,0,0.1,0.3,-0.1,2,31,0,0,20
407,Vitor Roque, BRA,FW,Betis,19-273,2005,7.6,73,103,70.9,942,193,42,55,76.4,20,26,76.9,3,5,60.0,0,0.9,0.2,-0.9,8,1,3,0,6
408,Valentin Rosier, FRA,DF,Leganés,28-100,1996,9.7,311,413,75.3,4835,1799,173,190,91.1,113,156,72.4,18,44,40.9,1,0.3,0.3,+0.7,4,25,3,1,15
409,Antonio Rüdiger, GER,DF,Real Madrid,31-269,1993,12.1,797,876,91.0,14975,4869,296,307,96.4,416,442,94.1,73,108,67.6,0,0.1,0.2,-0.1,3,53,4,1,46
410,Aitor Ruibal, ESP,"FW,DF",Betis,28-250,1996,6.2,166,209,79.4,2540,980,93,99,93.9,53,65,81.5,15,26,57.7,1,1.0,0.7,0.0,11,16,5,3,16
411,Abel Ruiz, ESP,FW,Girona,24-304,2000,7.3,127,141,90.1,1949,241,73,78,93.6,44,46,95.7,9,15,60.0,0,0.0,0.2,0.0,2,10,2,0,11
412,Ferrán Ruiz, ESP,MF,Girona,21-215,2003,0.2,3,6,50.0,39,15,2,3,66.7,1,3,33.3,,,,0,0.0,0.0,0.0,0,0,0,0,1
413,Youssouf Sabaly, SEN,DF,Betis,31-267,1993,6.2,288,345,83.5,4164,1403,161,176,91.5,112,131,85.5,8,21,38.1,0,0.3,0.3,-0.3,5,20,3,2,24
414,Umar Sadiq, NGA,FW,Real Sociedad,27-299,1997,2.3,24,44,54.5,324,64,17,27,63.0,5,9,55.6,1,2,50.0,0,0.2,0.1,-0.2,1,2,0,0,4
415,Jorge Sáenz, ESP,DF,Leganés,28-010,1996,5.8,302,365,82.7,6224,2392,104,110,94.5,156,167,93.4,40,82,48.8,0,0.0,0.0,0.0,1,14,0,0,9
416,Kike Salas, ESP,DF,Sevilla,22-218,2002,5.2,307,387,79.3,5470,1764,120,137,87.6,168,194,86.6,16,49,32.7,0,0.0,0.0,0.0,0,12,0,0,19
417,Albert Sambi Lokonga, BEL,MF,Sevilla,25-036,1999,6.3,342,372,91.9,5283,1409,183,191,95.8,135,144,93.8,17,28,60.7,1,0.4,0.6,+0.6,6,31,4,0,34
418,Chuky san jose, ESP,"MF,FW",Valladolid,20-212,2004,1.0,7,12,58.3,110,74,5,6,83.3,2,2,0.0,,3,66.7,0,0.0,0.1,0.0,1,0,0,0,0
419,Oihan Sancet, ESP,MF,Athletic Club,24-216,2000,8.1,229,277,82.7,3493,810,133,154,86.4,72,85,84.7,17,25,68.0,0,0.9,0.7,-0.9,9,30,8,1,39
420,Antonio Sánchez, ESP,"DF,MF",Mallorca,27-331,1997,5.9,168,236,71.2,2743,913,87,102,85.3,56,75,74.7,17,41,41.5,0,0.6,0.7,-0.6,4,15,5,3,17
421,Iván Sánchez, ESP,"MF,FW",Valladolid,32-065,1992,5.0,134,187,71.7,2553,769,57,64,89.1,54,72,75.0,22,41,53.7,1,1.0,0.8,0.0,6,12,4,1,26
422,Javi Sánchez, ESP,DF,Valladolid,27-258,1997,7.3,292,345,84.6,6068,2093,89,94,94.7,161,173,93.1,42,71,59.2,0,0.2,0.3,-0.2,1,10,0,0,6
423,Juanlu Sánchez, ESP,"MF,DF",Sevilla,21-104,2003,5.3,130,160,81.3,1787,387,78,87,89.7,48,55,87.3,1,2,50.0,1,0.2,0.1,+0.8,7,11,2,1,14
424,Manu Sánchez, ESP,DF,Alavés,24-095,2000,11.5,300,430,69.8,4936,2050,153,188,81.4,119,157,75.8,22,55,40.0,0,0.2,0.6,-0.2,5,24,8,4,37
425,Jesús Santiago, ESP,MF,Getafe,20-186,2004,2.4,40,58,69.0,547,178,28,37,75.7,9,12,75.0,1,5,20.0,0,0.0,0.1,0.0,0,5,0,0,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,Aleksandar Sedlar, SRB,DF,Alavés,32-350,1991,4.6,123,154,79.9,2546,978,38,44,86.4,65,78,83.3,19,29,65.5,0,0.0,0.0,0.0,0,6,0,0,6
427,Sergi, ESP,DF,Leganés,32-221,1992,13.5,584,702,83.2,11642,4370,165,179,92.2,347,379,91.6,68,127,53.5,0,0.0,0.1,0.0,2,17,1,0,29
428,Nicolás Serrano, ESP,FW,Athletic Club,21-267,2003,1.1,20,32,62.5,293,55,10,12,83.3,10,12,83.3,,6,0.0,0,0.0,0.1,0.0,1,1,1,1,3
429,Fábio Silva, POR,"FW,MF",Las Palmas,22-131,2002,8.2,131,204,64.2,1776,321,75,105,71.4,36,55,65.5,8,15,53.3,1,0.2,0.2,+0.8,4,7,4,1,10
430,Rui Silva, POR,GK,Betis,30-294,1994,14.0,388,489,79.3,9590,5858,64,64,100.0,239,239,100.0,82,182,45.1,0,0.1,0.0,-0.1,2,5,0,0,0
431,Giuliano Simeone, ARG,"MF,DF",Atlético Madrid,21-345,2002,3.7,125,167,74.9,1578,485,80,93,86.0,33,48,68.8,3,8,37.5,2,0.6,0.8,+1.4,3,6,5,2,11
432,Daley Sinkgraven, NED,DF,Las Palmas,29-146,1995,1.0,50,66,75.8,682,211,31,31,100.0,17,25,68.0,1,7,14.3,0,0.0,0.0,0.0,1,2,1,0,3
433,Jailson Siqueira, BRA,"DF,MF",Celta Vigo,29-081,1995,5.0,316,351,90.0,5699,2174,115,123,93.5,173,186,93.0,25,35,71.4,0,0.0,0.1,0.0,0,20,0,0,30
434,Antonio Sivera, ESP,GK,Alavés,28-108,1996,14.0,237,421,56.3,9422,8146,16,16,100.0,85,86,98.8,134,315,42.5,0,0.1,0.1,-0.1,1,18,1,0,1
435,Justin Smith, CAN,MF,Espanyol,21-297,2003,0.3,2,5,40.0,24,9,1,4,25.0,1,1,100.0,,,,0,0.0,0.0,0.0,0,0,0,0,0
436,Alex Sola, ESP,"MF,FW",Getafe,25-171,1999,10.1,130,201,64.7,1807,419,89,112,79.5,27,42,64.3,8,25,32.0,1,0.7,0.8,+0.3,9,8,1,1,19
437,Jhon Solis, COL,MF,Girona,20-055,2004,3.2,153,169,90.5,2395,590,82,85,96.5,61,70,87.1,7,8,87.5,0,0.0,0.1,0.0,1,16,1,1,18
438,David Soria, ESP,GK,Getafe,31-237,1993,14.0,184,338,54.4,7092,6066,15,15,100.0,64,64,100.0,105,256,41.0,0,0.0,0.1,0.0,0,17,0,0,0
439,Juan Soriano, ESP,GK,Leganés,27-096,1997,6.0,98,185,53.0,3513,2922,17,17,100.0,35,35,100.0,46,133,34.6,0,0.0,0.0,0.0,0,0,0,0,0
440,Hugo Sotelo, ESP,MF,Celta Vigo,20-344,2003,6.4,448,511,87.7,7987,2025,194,206,94.2,194,206,94.2,47,77,61.0,0,0.5,0.7,-0.5,9,41,5,2,33
441,Djibril Sow, SUI,MF,Sevilla,27-295,1997,6.5,246,279,88.2,3789,954,128,145,88.3,92,97,94.8,16,19,84.2,0,0.4,0.2,-0.4,8,29,3,0,34
442,Carl Starfelt, SWE,DF,Celta Vigo,29-179,1995,11.2,650,694,93.7,11803,4187,235,242,97.1,372,394,94.4,36,45,80.0,0,0.0,0.1,0.0,1,15,0,0,24
443,Orri Steinn Óskarsson, ISL,FW,Real Sociedad,20-090,2004,3.6,35,60,58.3,416,49,28,39,71.8,7,10,70.0,,1,0.0,0,0.0,0.0,0.0,0,1,1,0,3
444,Stoichkov, ESP,"MF,FW",Alavés,31-022,1993,6.3,101,167,60.5,1735,571,47,66,71.2,37,56,66.1,13,26,50.0,1,1.2,0.6,-0.2,6,13,9,1,22
445,Cristhian Stuani, URU,FW,Girona,38-046,1986,2.2,20,31,64.5,215,8,14,21,66.7,5,8,62.5,,1,0.0,0,0.0,0.0,0.0,1,0,0,0,0
446,Álex Suárez, ESP,DF,Las Palmas,31-254,1993,10.9,478,564,84.8,8508,3087,189,196,96.4,249,273,91.2,32,75,42.7,0,0.0,0.0,0.0,1,12,0,0,19
447,Denis Suárez, ESP,MF,Villarreal,30-326,1994,1.1,27,36,75.0,418,141,15,17,88.2,9,11,81.8,2,5,40.0,0,0.1,0.1,-0.1,3,1,0,0,4
448,Luka Sučić, CRO,MF,Real Sociedad,22-080,2002,8.8,313,369,84.8,4711,997,184,204,90.2,96,113,85.0,21,30,70.0,1,1.0,1.3,0.0,12,23,6,1,36
449,Suso, ESP,"FW,MF",Sevilla,31-008,1993,1.3,58,75,77.3,1009,316,29,33,87.9,19,21,90.5,7,16,43.8,0,0.3,0.2,-0.3,6,8,2,0,10
450,Williot Swedberg, SWE,"FW,MF",Celta Vigo,20-300,2004,5.4,95,131,72.5,1329,318,56,69,81.2,28,42,66.7,5,8,62.5,3,1.8,1.4,+1.2,8,8,4,1,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,Mamadou Sylla, SEN,FW,Valladolid,30-252,1994,6.7,54,92,58.7,664,167,38,52,73.1,10,26,38.5,2,4,50.0,1,0.7,0.1,+0.3,6,3,2,0,6
452,Alexander Sørloth, NOR,FW,Atlético Madrid,28-358,1995,7.4,100,161,62.1,1190,264,59,95,62.1,25,38,65.8,2,3,66.7,2,1.3,0.4,+0.7,8,10,4,1,11
453,Renato Tapia, PER,"MF,DF",Leganés,29-122,1995,8.0,264,355,74.4,4765,1501,123,148,83.1,107,131,81.7,29,53,54.7,0,0.1,0.3,-0.1,3,19,4,0,23
454,César Tárrega, ESP,DF,Valencia,22-275,2002,10.0,345,453,76.2,7382,2369,72,86,83.7,227,257,88.3,45,96,46.9,0,0.0,0.1,0.0,1,27,0,0,27
455,Aurélien Tchouaméni, FRA,"MF,DF",Real Madrid,24-305,2000,9.4,606,654,92.7,10573,3484,266,283,94.0,282,300,94.0,49,56,87.5,0,0.3,0.4,-0.3,3,86,5,0,79
456,Álvaro Tejero, ESP,"MF,DF",Espanyol,28-130,1996,7.6,225,318,70.8,4256,1467,96,110,87.3,94,116,81.0,29,67,43.3,2,2.1,2.1,-0.1,21,10,12,8,21
457,Martín Tejón, ESP,"MF,DF",Valencia,20-229,2004,0.5,20,26,76.9,328,95,10,12,83.3,8,10,80.0,1,2,50.0,0,0.0,0.0,0.0,1,2,0,0,4
458,Nahuel Tenaglia, ARG,DF,Alavés,28-280,1996,11.5,255,384,66.4,4457,2142,115,144,79.9,118,159,74.2,18,55,32.7,1,0.4,0.6,+0.6,6,25,7,2,25
459,Marc-André ter Stegen, GER,GK,Barcelona,32-211,1992,5.5,186,203,91.6,4679,3174,17,17,100.0,125,127,98.4,44,59,74.6,0,0.0,0.0,0.0,0,1,1,0,0
460,Ramón Terrats, ESP,"MF,FW",Villarreal,24-040,2000,1.4,63,78,80.8,1148,305,27,28,96.4,27,35,77.1,7,12,58.3,0,0.3,0.4,-0.3,1,7,2,1,7
461,Pablo Torre, ESP,"MF,FW",Barcelona,21-238,2003,2.3,104,129,80.6,1552,417,54,62,87.1,39,43,90.7,6,13,46.2,1,0.4,0.8,+0.6,3,7,3,1,11
462,David Torres, ESP,DF,Valladolid,21-267,2003,7.7,302,353,85.6,5722,2592,101,104,97.1,172,188,91.5,28,53,52.8,0,0.0,0.0,0.0,0,15,0,0,21
463,Ferrán Torres, ESP,FW,Barcelona,24-272,2000,3.6,77,102,75.5,928,273,51,60,85.0,16,23,69.6,4,8,50.0,2,0.2,0.3,+1.8,3,9,5,0,9
464,Lucas Torró, ESP,MF,Osasuna,30-131,1994,13.5,404,553,73.1,6864,2077,189,247,76.5,165,206,80.1,36,73,49.3,0,0.3,0.4,-0.3,2,42,2,0,41
465,Hamari Traoré, MLI,DF,Real Sociedad,32-305,1992,3.5,156,196,79.6,2747,921,71,78,91.0,68,87,78.2,16,26,61.5,1,0.2,0.2,+0.8,2,8,3,1,11
466,Óscar Trejo, ARG,MF,Rayo Vallecano,36-215,1988,1.7,73,89,82.0,972,283,43,48,89.6,18,23,78.3,4,6,66.7,0,0.9,0.1,-0.9,4,6,2,0,13
467,Viktor Tsyhankov, UKR,"FW,MF",Girona,27-012,1997,5.2,188,242,77.7,2842,791,114,130,87.7,51,67,76.1,15,27,55.6,1,0.8,1.4,+0.2,7,13,10,2,23
468,Beñat Turrientes, ESP,MF,Real Sociedad,22-301,2002,5.1,184,215,85.6,3048,689,94,105,89.5,68,74,91.9,16,27,59.3,0,0.0,0.2,0.0,0,21,1,0,25
469,Chrisantus Uche, NGA,"FW,MF",Getafe,21-192,2003,12.0,163,237,68.8,2054,487,109,139,78.4,36,56,64.3,3,10,30.0,0,0.3,0.5,-0.3,9,20,7,2,19
470,Naci Ünüvar, NED,"MF,DF",Espanyol,21-167,2003,0.3,13,18,72.2,193,38,7,8,87.5,3,3,100.0,2,4,50.0,0,0.0,0.1,0.0,1,1,1,1,1
471,Óscar Valentín, ESP,MF,Rayo Vallecano,30-099,1994,9.8,306,381,80.3,4824,1723,157,182,86.3,124,148,83.8,19,33,57.6,0,0.1,0.4,-0.1,3,38,3,1,49
472,Germán Valera, ESP,"MF,FW",Valencia,22-256,2002,0.7,17,21,81.0,231,36,10,10,100.0,7,7,100.0,,3,0.0,0,0.0,0.0,0.0,1,1,0,0,1
473,Martin Valjent, SVK,DF,Mallorca,28-352,1995,9.8,368,428,86.0,7494,2957,115,128,89.8,198,211,93.8,53,82,64.6,0,0.0,0.1,0.0,0,29,0,0,31
474,Jesús Vallejo, ESP,DF,Real Madrid,27-327,1997,0.1,12,14,85.7,221,54,1,1,100.0,11,11,100.0,,2,0.0,0,0.0,0.0,0.0,0,0,0,0,0
475,Federico Valverde, URU,"MF,DF",Real Madrid,26-128,1998,12.4,737,819,90.0,13024,3504,323,345,93.6,321,343,93.6,70,88,79.5,2,1.4,1.3,+0.6,17,79,10,0,82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,José Luis García Vayá, ESP,MF,Valencia,26-108,1998,9.5,449,588,76.4,8569,2762,197,219,90.0,188,227,82.8,60,121,49.6,2,1.3,1.2,+0.7,16,75,1,0,62
477,Jesus Vazquez, ESP,DF,Valencia,21-330,2003,6.2,206,274,75.2,2968,791,123,136,90.4,73,96,76.0,7,19,36.8,0,0.2,0.3,-0.2,1,7,2,2,12
478,Lucas Vázquez, ESP,DF,Real Madrid,33-149,1991,5.0,298,347,85.9,4554,1097,159,174,91.4,114,129,88.4,16,28,57.1,1,0.8,0.7,+0.2,8,19,3,0,23
479,Alejo Véliz, ARG,FW,Espanyol,21-069,2003,7.9,77,109,70.6,1124,130,46,57,80.7,21,31,67.7,7,8,87.5,0,0.5,0.0,-0.5,2,7,0,0,5
480,Mikel Vesga, ESP,MF,Athletic Club,31-190,1993,4.0,160,197,81.2,2818,784,70,80,87.5,70,87,80.5,17,23,73.9,0,0.5,0.3,-0.5,6,18,2,0,24
481,Carlos Vicente, ESP,"FW,MF",Alavés,25-218,1999,12.7,218,335,65.1,3635,1509,128,155,82.6,58,96,60.4,28,56,50.0,0,1.6,1.9,-1.6,26,10,15,11,20
482,Pau Victor Delgado, ESP,FW,Barcelona,23-001,2001,1.6,54,68,79.4,797,119,34,37,91.9,17,24,70.8,3,4,75.0,1,0.1,0.1,+0.9,2,4,2,0,4
483,Nacho Vidal, ESP,DF,Osasuna,29-308,1995,1.3,35,44,79.5,548,238,21,23,91.3,7,9,77.8,6,10,60.0,0,0.0,0.0,0.0,0,1,0,0,1
484,Asier Villalibre, ESP,FW,Alavés,27-058,1997,2.4,27,39,69.2,379,76,19,23,82.6,6,11,54.5,2,2,100.0,0,0.0,0.1,0.0,0,1,2,0,4
485,Iván Villar, ESP,GK,Celta Vigo,27-141,1997,4.0,95,117,81.2,1704,1111,30,30,100.0,44,44,100.0,10,32,31.3,0,0.0,0.0,0.0,0,0,0,0,0
486,Viti, ESP,DF,Las Palmas,27-072,1997,8.6,320,391,81.8,5238,1813,158,172,91.9,134,168,79.8,19,29,65.5,1,0.7,0.9,+0.3,6,18,7,5,19
487,Daniel Vivian, ESP,DF,Athletic Club,25-135,1999,10.6,553,635,87.1,10885,4145,169,184,91.8,320,346,92.5,60,94,63.8,0,0.0,0.2,0.0,1,56,1,0,68
488,Iñaki Williams, GHA,FW,Athletic Club,30-165,1994,11.7,183,295,62.0,2712,710,106,144,73.6,65,100,65.0,9,23,39.1,4,3.9,2.1,+0.1,13,12,18,5,27
489,Nico Williams, ESP,FW,Athletic Club,22-138,2002,9.6,224,316,70.9,3488,827,121,149,81.2,82,99,82.8,14,37,37.8,2,2.2,2.8,-0.2,21,9,14,5,30
490,Axel Witsel, BEL,DF,Atlético Madrid,35-320,1989,6.9,379,418,90.7,6905,2640,140,151,92.7,211,229,92.1,26,32,81.3,1,0.5,0.6,+0.5,2,15,0,0,16
491,Lamine Yamal, ESP,FW,Barcelona,17-137,2007,10.8,355,460,77.2,5113,1517,214,248,86.3,119,149,79.9,14,24,58.3,7,5.5,3.0,+1.5,26,28,30,5,59
492,Bertuğ Yıldırım, TUR,FW,Getafe,22-138,2002,8.2,57,109,52.3,721,195,34,58,58.6,15,29,51.7,2,5,40.0,0,0.8,0.4,-0.8,5,6,5,2,8
493,Bryan Zaragoza, ESP,"FW,MF",Osasuna,23-216,2001,10.8,149,249,59.8,2796,831,61,90,67.8,59,87,67.8,24,50,48.0,5,1.9,3.3,+3.1,20,8,18,11,24
494,Igor Zubeldia, ESP,DF,Real Sociedad,27-242,1997,11.4,640,738,86.7,12700,3935,183,204,89.7,405,428,94.6,50,90,55.6,0,0.3,0.4,-0.3,3,47,4,0,53
495,Martín Zubimendi, ESP,MF,Real Sociedad,25-299,1999,13.5,683,796,85.8,11561,3421,324,359,90.3,300,337,89.0,48,74,64.9,1,0.6,0.6,+0.4,9,85,9,0,99
